Region,Municipality,Year,GDP per capita (euro at current prices),Imports (euro),Exports (euro),"Gross value added (millions of euro), A Agriculture, forestry and fishing (01-03)","Gross value added (millions of euro), B Mining and quarrying (05-09)","Gross value added (millions of euro), F Construction (41-43)","Gross value added (millions of euro), G Wholesale and retail trade; repair of motor vehicles and motorcycles (45-47)","Gross value added (millions of euro), H Transportation and storage (49-53)","Gross value added (millions of euro), I Accommodation and food service activities (55-56)","Gross value added (millions of euro), J Information and communication (58-63)","Gross value added (millions of euro), K Financial and insurance activities (64-66)","Gross value added (millions of euro), M Professional, scientific and technical activities (69-75)","Gross value added (millions of euro), N Administrative and support service activities (77-82)","Gross value added (millions of euro), O Public administration and defence; compulsory social security (84)","Gross value added (millions of euro), P Education (85)","Gross value added (millions of euro), Q Human health and social work activities (86-88)","Gross value added (millions of euro), R, S Other service activities (90-96)","Gross value added (millions of euro),  T Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use(97-98)"
21,TOTAL,2017,46892.5,62469000000,59711000000,24.0,0.9,87.6,78.1,253.3,27.9,48.8,78.4,26,14,46.4,64.8,132.6,36.4,0.7
21,TOTAL,2018,43395.5,66585000000,63682000000,21.4,1,80.4,72,231.6,27.5,49.1,68.4,25,11.5,43.9,64.8,134.3,37,1
21,TOTAL,2019,45157.6,65851000000,65054000000,30.2,1.6,84.7,74.8,235.3,27,51.6,67.6,29,12.1,50.1,66.3,138.1,36.9,0.9
21,TOTAL,2020,39532.8,59768000000,57440000000,31.3,1.5,89.4,63.4,103.7,17,52.2,72.6,29.1,9.9,47.7,67,143.8,38.4,1.1
21,TOTAL,2021,44250.6,72936000000,68908000000,29.3,1.7,94.3,73.5,137.5,28.8,58.9,84.4,29.1,11.7,55.5,72.8,154.1,54,1.3
21,TOTAL,2022,48912.8,92469000000,81885000000,21.7,1.7,83,76.5,218.9,33.7,53.9,109.4,29.7,13.9,64,77,166.3,15.6,1.1
04,TOTAL,2015,36178.0,722000000,1289000000,193.8,25.2,432.5,471.1,357.4,85.7,114.8,113.3,182.9,167.5,494.2,353.4,735.2,171.4,13.9
04,TOTAL,2016,34955.6,727000000,1367000000,215.9,22.2,475.1,447.5,343.6,94,120.3,103.8,184.1,198.4,414.1,347.1,733.9,164.9,15.8
04,TOTAL,2017,36167.8,807000000,1459000000,226.6,20.2,458.8,461.7,347.7,91.2,106.4,107.2,198.7,206.8,404.7,355.7,753.1,167.2,16
04,TOTAL,2018,36858.4,937000000,1396000000,239.1,11.9,546,477,339.8,90.2,119.5,91.6,212.8,221.8,398.4,333.8,755,168.8,12.5
04,TOTAL,2019,36564.9,972000000,1394000000,265.7,21.5,517.8,462.7,332.8,91.4,119.2,91.8,216.4,212.6,411.4,313.8,764.3,150.6,10.6
04,TOTAL,2020,37034.6,1003000000,1316000000,285.1,25.7,529.5,455.4,325.3,75,125.8,84.6,223.7,207.5,409.7,316.5,763.9,145.9,9.7
04,TOTAL,2021,39248.0,1131000000,1829000000,272.6,21.7,534.8,477.1,357.4,78.2,123.8,96.7,240,237,461.8,334.6,810.3,150.4,7.1
04,TOTAL,2022,42468.6,1096000000,1913000000,305.2,16.6,567.9,526.6,348.2,96.4,219.1,110.3,244.6,226.3,484,350.2,839.7,147.6,8.1
05,TOTAL,2015,31491.3,3159000000,4161000000,142.5,8.8,316.5,444.2,174.4,78.5,96,94.7,237.5,115.9,346.9,277.1,536.1,138.1,8.3
05,TOTAL,2016,32119.7,3318000000,4138000000,155.3,8.2,323,449.1,172.2,79.3,86.4,93.8,217.4,124.9,340.4,269.7,535.2,149.7,8.8
05,TOTAL,2017,33124.4,3497000000,4775000000,160.1,26.5,348.3,503.7,165,72.8,83.6,92.7,228.3,129.6,357.5,233.8,535.4,147.7,8.9
